OID_,POINT_X,POINT_Y,Name,SymbolID,PopupInfo
242,202089.898900000378489,44699.590099999681115,9061,3,Regeneration Area
243,202089.902900000102818,44809.587999999523163,9062,3,Regeneration Area
244,202199.893799999728799,44809.582699999213219,9063,3,Regeneration Area
245,203589.783599999733269,44699.518500000238419,9071,3,Regeneration Area
246,203589.787399999797344,44809.516300000250340,9072,3,Regeneration Area
247,203699.778199999593198,44809.511199999600649,9073,3,Regeneration Area
248,202589.814799999818206,43199.595200000330806,9081,3,Regeneration Area
249,202589.818699999712408,43309.593000000342727,9082,3,Regeneration Area
250,202699.809399999678135,43309.587799999862909,9083,3,Regeneration Area
251,204172.669599999673665,42395.537100000306964,9091,3,Regeneration Area
252,204172.673700000159442,42505.534800000488758,9092,3,Regeneration Area
253,204282.665400000289083,42505.529799999669194,9093,3,Regeneration Area
254,203089.746399999596179,42199.591099999845028,9101,3,Regeneration Area
255,203089.749300000257790,42309.588899999856949,9102,3,Regeneration Area
256,203199.740799999795854,42309.583799999207258,9103,3,Regeneration Area
257,205589.335799999535084,34699.628900000825524,9161,3,Regeneration Area
258,205589.339100000448525,34809.626700000837445,9162,3,Regeneration Area
259,205699.331600000150502,34809.621999999508262,9163,3,Regeneration Area
260,202589.440700000151992,30699.841099999845028,9191,3,Regeneration Area
261,202589.444400000385940,30809.838999999687076,9192,3,Regeneration Area
262,202699.436300000175834,30809.833900000900030,9193,3,Regeneration Area
263,203589.814399999566376,45699.498800000175834,9261,3,Regeneration Area
264,203589.816800000146031,45809.496600000187755,9262,3,Regeneration Area
265,203699.808600000105798,45809.491499999538064,9263,3,Regeneration Area
266,205089.699799999594688,45699.429800000041723,9271,3,Regeneration Area
267,205089.703099999576807,45809.427600000053644,9272,3,Regeneration Area
268,205199.694799999706447,45809.422499999403954,9273,3,Regeneration Area
269,204089.730200000107288,44199.505100000649691,9301,3,Regeneration Area
270,204089.733500000089407,44309.503000000491738,9302,3,Regeneration Area
271,204199.725100000388920,44309.497899999842048,9303,3,Regeneration Area
272,202589.829900000244379,43699.585500000044703,9311,3,Regeneration Area
273,202589.833100000396371,43809.583300000056624,9312,3,Regeneration Area
274,202699.824799999594688,43809.577999999746680,9313,3,Regeneration Area
275,205089.639899999834597,43699.469699999317527,9321,3,Regeneration Area
276,205089.643799999728799,43809.467399999499321,9322,3,Regeneration Area
277,205199.634600000455976,43809.462500000372529,9323,3,Regeneration Area
278,206089.550699999555945,43199.435599999502301,9341,3,Regeneration Area
279,206089.554200000129640,43309.433399999514222,9342,3,Regeneration Area
280,206199.545400000177324,43309.428600000217557,9343,3,Regeneration Area
281,202589.784599999897182,42199.614800000563264,9361,3,Regeneration Area
282,202589.787600000388920,42309.612600000575185,9362,3,Regeneration Area
283,202699.779500000178814,42309.607300000265241,9363,3,Regeneration Area
284,205089.595099999569356,42199.499600000679493,9381,3,Regeneration Area
285,205089.597900000400841,42309.497500000521541,9382,3,Regeneration Area
286,205199.589999999850988,42309.492499999701977,9383,3,Regeneration Area
287,203089.731499999761581,41699.600899999961257,9391,3,Regeneration Area
288,203089.734000000171363,41809.598699999973178,9392,3,Regeneration Area
289,203199.726700000464916,41809.593599999323487,9393,3,Regeneration Area
290,207089.286500000394881,36699.525499999523163,9481,3,Regeneration Area
291,207089.289099999703467,36809.523199999704957,9482,3,Regeneration Area
292,207199.281399999745190,36809.518600000068545,9483,3,Regeneration Area
293,206089.343799999915063,36199.577400000765920,9491,3,Regeneration Area
294,206089.347199999727309,36309.575099999085069,9492,3,Regeneration Area
295,206199.339200000278652,36309.570399999618530,9493,3,Regeneration Area
296,205589.307099999859929,33699.649199999868870,9521,3,Regeneration Area
297,205589.309700000099838,33809.646999999880791,9522,3,Regeneration Area
298,205699.302299999631941,33809.642300000414252,9523,3,Regeneration Area
299,204589.321700000204146,31699.732499999925494,9541,3,Regeneration Area
300,204589.324900000356138,31809.730200000107288,9542,3,Regeneration Area
301,204699.316300000064075,31809.725400000810623,9543,3,Regeneration Area
302,205172.255800000391901,30895.723699999973178,9561,3,Regeneration Area
